id,title,language,season,episode,series,folder_path,original_name,google_drive_file_id,preview_link,download_link,mime_type
1UEXef6cB5F9IGo6RXur1_EcdKQFnERPu,"How to make Sauerkraut","Hindi",2,16,"How to Do It Series","How to Do it Series/Season 2/Episode 16","S2 Episode 16 - How to make Sauerkraut - hindi.mp4","1UEXef6cB5F9IGo6RXur1_EcdKQFnERPu","https://drive.google.com/file/d/1UEXef6cB5F9IGo6RXur1_EcdKQFnERPu/preview","https://drive.google.com/uc?export=download&id=1UEXef6cB5F9IGo6RXur1_EcdKQFnERPu","video/mp4"
1VFvADvWmslpO7LWLJG7bvWE6pFK73Kq5,"Understanding Weeds","French",2,15,"How to Do It Series","How to Do it Series/Season 2/Episode 15","S2 Episode 15 - Understanding Weeds - french.mp4","1VFvADvWmslpO7LWLJG7bvWE6pFK73Kq5","https://drive.google.com/file/d/1VFvADvWmslpO7LWLJG7bvWE6pFK73Kq5/preview","https://drive.google.com/uc?export=download&id=1VFvADvWmslpO7LWLJG7bvWE6pFK73Kq5","video/mp4"
1pwFDjsw4va_s3kx_TEyjhh_6gbDL1rEC,"Understanding Weeds","Portuguese",2,15,"How to Do It Series","How to Do it Series/Season 2/Episode 15","S2 Episode 15 - Understanding Weeds - portuguese.mp4","1pwFDjsw4va_s3kx_TEyjhh_6gbDL1rEC","https://drive.google.com/file/d/1pwFDjsw4va_s3kx_TEyjhh_6gbDL1rEC/preview","https://drive.google.com/uc?export=download&id=1pwFDjsw4va_s3kx_TEyjhh_6gbDL1rEC","video/mp4"
1i5OPjSJ82Y_F6sMbVIzSEmTK8z05CLYP,"Understanding Weeds","Spanish",2,15,"How to Do It Series","How to Do it Series/Season 2/Episode 15","S2 Episode 15 - Understanding Weeds - spanish.mp4","1i5OPjSJ82Y_F6sMbVIzSEmTK8z05CLYP","https://drive.google.com/file/d/1i5OPjSJ82Y_F6sMbVIzSEmTK8z05CLYP/preview","https://drive.google.com/uc?export=download&id=1i5OPjSJ82Y_F6sMbVIzSEmTK8z05CLYP","video/mp4"
1Qkm7yJ2fJZt537v2tmZZFvtvIJMPUg7f,"Understanding Weeds","Mandarin",2,15,"How to Do It Series","How to Do it Series/Season 2/Episode 15","S2 Episode 15 - Understanding Weeds - mandarin.mp4","1Qkm7yJ2fJZt537v2tmZZFvtvIJMPUg7f","https://drive.google.com/file/d/1Qkm7yJ2fJZt537v2tmZZFvtvIJMPUg7f/preview","https://drive.google.com/uc?export=download&id=1Qkm7yJ2fJZt537v2tmZZFvtvIJMPUg7f","video/mp4"
1gw8uRKxmd7LshtEFI0-28a3EmDDCPo33,"Understanding Weeds","German",2,15,"How to Do It Series","How to Do it Series/Season 2/Episode 15","S2 Episode 15 - Understanding Weeds - german.mp4","1gw8uRKxmd7LshtEFI0-28a3EmDDCPo33","https://drive.google.com/file/d/1gw8uRKxmd7LshtEFI0-28a3EmDDCPo33/preview","https://drive.google.com/uc?export=download&id=1gw8uRKxmd7LshtEFI0-28a3EmDDCPo33","video/mp4"
15oEaf0M2iKweDC3WtKUHlnDP4LkgWxTQ,"Understanding Weeds","Arabic",2,15,"How to Do It Series","How to Do it Series/Season 2/Episode 15","S2 Episode 15 - Understanding Weeds - arabic.mp4","15oEaf0M2iKweDC3WtKUHlnDP4LkgWxTQ","https://drive.google.com/file/d/15oEaf0M2iKweDC3WtKUHlnDP4LkgWxTQ/preview","https://drive.google.com/uc?export=download&id=15oEaf0M2iKweDC3WtKUHlnDP4LkgWxTQ","video/mp4"
1iCo9EZHrdykyACYGV_s2nF8GU4cxd-yK,"Understanding Weeds","Hindi",2,15,"How to Do It Series","How to Do it Series/Season 2/Episode 15","S2 Episode 15 - Understanding Weeds - hindi.mp4","1iCo9EZHrdykyACYGV_s2nF8GU4cxd-yK","https://drive.google.com/file/d/1iCo9EZHrdykyACYGV_s2nF8GU4cxd-yK/preview","https://drive.google.com/uc?export=download&id=1iCo9EZHrdykyACYGV_s2nF8GU4cxd-yK","video/mp4"
13ZoPVVSUTbYTaKhY_p4GPIkYWiOfEUHS,"Understanding Weeds","Vietnamese",2,15,"How to Do It Series","How to Do it Series/Season 2/Episode 15","S2 Episode 15 - Understanding Weeds - vietnamese.mp4","13ZoPVVSUTbYTaKhY_p4GPIkYWiOfEUHS","https://drive.google.com/file/d/13ZoPVVSUTbYTaKhY_p4GPIkYWiOfEUHS/preview","https://drive.google.com/uc?export=download&id=13ZoPVVSUTbYTaKhY_p4GPIkYWiOfEUHS","video/mp4"
1b1Hq_3S4UiFo17C3DaM02Y5Ut6JZ4q2C,"How to Brew Biofertiliser","German",2,14,"How to Do It Series","How to Do it Series/Season 2/Episode 14","S2 Episode 14 - How to Brew Biofertiliser - germ.mp4","1b1Hq_3S4UiFo17C3DaM02Y5Ut6JZ4q2C","https://drive.google.com/file/d/1b1Hq_3S4UiFo17C3DaM02Y5Ut6JZ4q2C/preview","https://drive.google.com/uc?export=download&id=1b1Hq_3S4UiFo17C3DaM02Y5Ut6JZ4q2C","video/mp4"
